,entry_percentile,sigma_mult,otm_pts,long_dte_weeks,total_return,cagr,max_dd,win_rate,trades,avg_trade_dur,score
0,0.9,1,5,26,37.20131938943789,0.18025423802468654,-0.01079023110980083,1,448,1.2120535714285714,0.9750000000000001
1,0.9,1,4,26,36.978524140075606,0.17994020741474492,-0.009932569974947326,1,446,1.2219730941704037,0.9678571428571429
2,0.9,0.8,4,26,37.97109345400275,0.18132594332514818,-0.00431575621329981,1,458,1.1593886462882097,0.9619047619047618
3,0.9,0.8,3,26,37.616779190298544,0.18083518865966441,-0.004544070129194998,1,455,1.178021978021978,0.9607142857142856
4,0.9,0.8,5,26,37.75544724711161,0.18102776530058384,-0.004115087752667919,1,465,1.1268817204301076,0.9595238095238094
5,0.9,1,4,15,37.49738667303641,0.18066885157090407,-0.0010696997756273877,1,463,1.1317494600431965,0.930952380952381
6,0.9,1,3,26,33.89931533337587,0.17541003886965267,-0.013865773093666316,1,436,1.2729357798165137,0.9273809523809524
7,0.9,1,3,15,36.6463983618562,0.1794687952619436,-0.0009559032692691825,1,459,1.1525054466230937,0.9178571428571428
8,0.9,1,5,15,36.99958096824985,0.17996996221857287,-0.000682295250006192,1,467,1.1113490364025695,0.9130952380952382
9,0.9,1,10,26,34.361163609608,0.17611327449798653,-0.00223395176893484,1,464,1.125,0.9011904761904761
10,0.7,1,4,26,30.207464927458645,0.16944624520261709,-0.008422996282791655,1,377,1.2122015915119364,0.888095238095238
11,0.9,0.8,2,26,31.28918910742707,0.17126055631125037,-0.005304235906212263,1,448,1.2120535714285714,0.8845238095238095
12,0.7,0.8,3,26,30.621848946888083,0.1701482574214983,-0.004554251994002404,1,385,1.1662337662337663,0.8797619047619047
13,0.7,1,3,26,28.181146902012447,0.16587992810254426,-0.013946976062965445,1,369,1.2628726287262872,0.8785714285714286
14,0.7,1,5,26,29.69241644038177,0.1685611880787723,-0.006762003650312953,1,380,1.194736842105263,0.8761904761904762
15,0.7,0.8,4,26,30.32955717692363,0.1696540030310265,-0.0027665759264914767,1,387,1.1472868217054264,0.8666666666666667
16,0.9,1,2,15,31.307805664925482,0.17129127010017364,-0.0013082251749270378,1,452,1.1924778761061947,0.8595238095238096
17,0.7,0.8,5,26,29.700766072408314,0.16857564874978404,-0.0017631316184309562,1,392,1.125,0.8476190476190476
18,0.7,1,4,15,29.474856766113053,0.16818306829204754,-0.0006910584522197655,1,390,1.1358974358974359,0.8261904761904761
19,0.7,1,3,15,29.409595718673497,0.16806914182245292,-0.0007099422828858269,1,388,1.1443298969072164,0.8261904761904761
20,0.9,1,2,26,25.700106512426924,0.1611764759001837,-0.012674474068396611,1,427,1.31615925058548,0.819047619047619
21,0.7,0.8,2,26,26.179553386861553,0.16211703974213454,-0.005269577548610758,1,378,1.2063492063492063,0.8154761904761905
22,0.7,1,2,26,21.93412987526997,0.15317231224789474,-0.012584218809320919,1,363,1.303030303030303,0.8023809523809524
23,0.5,1,4,26,21.685307568177237,0.15260015257202064,-0.006208566290975183,1,299,1.2408026755852843,0.7857142857142857
24,0.5,1,3,26,20.76055972742904,0.15041988738090906,-0.005560105222391023,1,293,1.2832764505119454,0.775
25,0.7,1,2,15,25.902616740484724,0.16157570497304108,-0.000923936653956589,1,383,1.1775456919060052,0.7726190476190475
26,0.5,0.8,3,26,22.19848757701591,0.15377373958877594,-0.0022849849240954715,1,305,1.1967213114754098,0.7714285714285715
27,0.5,0.8,4,26,21.70663879588659,0.15264943727517166,-0.002085677185083562,1,307,1.1758957654723128,0.7607142857142857
28,0.5,1,5,26,20.519019527093743,0.14983584531739758,-0.0035538535783705893,1,302,1.2152317880794703,0.7583333333333333
29,0.5,0.8,2,26,19.45764539255793,0.14719297099429363,-0.0022825582270872475,1,301,1.2225913621262459,0.736904761904762
30,0.5,1,3,15,21.133369701628638,0.15130930314457025,-0.0006894974552321769,1,307,1.1824104234527688,0.7357142857142858
31,0.5,1,4,15,20.969316402933426,0.15091969542055406,-0.000166489710640863,1,312,1.141025641025641,0.730952380952381
32,0.9,0.5,1,3,41.049756441060005,0.18541932940362793,0,0.7848360655737705,488,1.0184426229508197,0.7160714285714286
33,0.9,0.5,1,5,40.760498585958615,0.18504712573680115,0,0.9463917525773196,485,1.024742268041237,0.7148809523809524
34,0.9,0.5,3,26,40.12362832270088,0.18421888026447508,0,0.9979035639412998,477,1.0607966457023061,0.7136904761904762
35,0.9,0.5,2,15,39.01808388362789,0.18275161439821974,0,0.9937369519832986,479,1.0521920668058455,0.7125
36,0.9,0.5,3,15,38.89296402591373,0.1825831261969455,0,0.9875776397515528,483,1.0331262939958592,0.7113095238095238
37,0.5,1,2,26,16.08755392374946,0.13783666829497765,-0.014122118337058375,1,287,1.3379790940766552,0.7107142857142857
38,0.9,0.5,2,26,38.69729789835701,0.18231862550936317,0,0.9978902953586498,474,1.0759493670886076,0.7101190476190476
39,0.9,0.5,4,26,38.677838286445784,0.1822922520866117,0,0.9979123173277662,479,1.0521920668058455,0.7089285714285715
40,0.9,0.8,1,3,38.59936449884964,0.18218577189272134,0,0.9563409563409564,481,1.0478170478170479,0.7077380952380952
41,0.9,0.8,3,15,38.519053773271104,0.18207659043612034,0,1,471,1.0976645435244161,0.706547619047619
42,0.9,0.8,4,15,37.64941271633552,0.18088056811294817,0,1,472,1.0889830508474576,0.7029761904761904
43,0.9,0.5,2,5,37.3413594792176,0.18045073145471058,0,0.808641975308642,486,1.02880658436214,0.6994047619047619
44,0.9,0.5,1,15,37.12828294461918,0.18015148596649633,0,0.9978991596638656,476,1.0672268907563025,0.6970238095238095
45,0.9,0.8,2,5,36.98298416472803,0.179946511062681,0,0.9791231732776617,479,1.0605427974947808,0.6946428571428571
46,0.9,0.5,5,26,36.8468676716203,0.1797538096163429,0,0.9937369519832986,479,1.0521920668058455,0.6922619047619047
47,0.5,1,2,15,18.66730499999779,0.14513854611221344,-0.0007432731956407918,1,303,1.2112211221122111,0.6916666666666667
48,0.9,0.8,2,3,36.75854032923028,0.1796284095071472,0,0.8530020703933747,483,1.041407867494824,0.6910714285714286
49,0.9,0.5,4,15,36.72759099295765,0.17958440385846197,0,0.9586776859504132,484,1.0268595041322315,0.6898809523809524
50,0.9,0.5,2,3,36.61366722105882,0.17942212270989266,0,0.5761316872427984,486,1.022633744855967,0.6875
51,0.9,1,1,15,18.334246090871268,0.14424908665486824,-0.0013698263092681176,1,440,1.2522727272727272,0.6869047619047619
52,0.9,1,3,5,36.58105113673591,0.17937557564296447,0,0.9853556485355649,478,1.0564853556485356,0.6863095238095238
53,0.9,0.8,1,26,17.0423151414361,0.1406545935023511,-0.004435105219597121,1,436,1.2706422018348624,0.6857142857142857
54,0.9,0.8,5,15,36.406567311332196,0.17912590949384422,0,1,474,1.0738396624472575,0.6851190476190476
55,0.9,0.8,1,5,36.36927895146793,0.17907241003129237,0,0.9915611814345991,474,1.080168776371308,0.6839285714285714
56,0.9,0.8,3,5,36.345235439788084,0.17903788658331932,0,0.9376299376299376,481,1.0436590436590436,0.6827380952380953
57,0.9,1,2,3,36.221386624346884,0.17885971852764593,0,0.941544885177453,479,1.0521920668058455,0.6815476190476191
58,0.9,1,2,5,36.04600527002881,0.17860644567974804,0,0.9957716701902748,473,1.0824524312896406,0.6803571428571429
59,0.9,0.5,3,5,35.771637503310956,0.17820791899991795,0,0.5958762886597938,485,1.022680412371134,0.6791666666666667
60,0.9,1,3,3,35.68944695571793,0.17808798241996282,0,0.8856548856548857,481,1.0395010395010396,0.6779761904761905
61,0.3,1,3,26,11.209255858218356,0.12056790301804599,-0.005376123063734676,1,213,1.300469483568075,0.6773809523809524
62,0.9,0.8,2,15,35.59036649367081,0.17794305783898534,0,1,467,1.113490364025696,0.6767857142857143
63,0.7,0.8,1,26,14.066264926213403,0.1313384715878232,-0.0036595464874135753,1,368,1.2717391304347827,0.6761904761904762
64,0.9,1,4,5,35.47085446072753,0.1777677488511089,0,0.9707112970711297,478,1.0564853556485356,0.6755952380952381
65,0.9,1,1,3,35.46327516943535,0.17775661251041508,0,0.9810526315789474,475,1.0736842105263158,0.674404761904762
66,0.9,0.8,3,3,35.42787743248597,0.1777045729308302,0,0.7142857142857143,483,1.0289855072463767,0.6732142857142858
67,0.9,0.5,5,15,35.38899924204455,0.1776473609534277,0,0.8845360824742268,485,1.02680412371134,0.6720238095238096
68,0.9,0.8,4,5,35.38811748033817,0.1776460627028602,0,0.8429752066115702,484,1.037190082644628,0.6708333333333334
69,0.9,1,5,5,35.22254341974911,0.17740174805674114,0,0.9128630705394191,482,1.0394190871369295,0.6696428571428572
70,0.9,0.5,3,3,35.126644377217396,0.17725975521148252,0,0.3921971252566735,487,1.0123203285420945,0.668452380952381
71,0.9,1,4,3,35.10155619225378,0.17722254903781365,0,0.7104722792607803,487,1.0164271047227926,0.6672619047619048
72,0.9,0.8,5,5,34.99429856583033,0.17706320548560672,0,0.6845360824742268,485,1.02680412371134,0.6660714285714286
73,0.9,1,5,3,34.74417201042416,0.17668984577241287,0,0.5685071574642127,489,1.0143149284253579,0.6648809523809525
74,0.9,0.5,4,5,34.66245269796822,0.17656732410684772,0,0.41683778234086244,487,1.0205338809034907,0.6636904761904763
75,0.9,0.8,4,3,34.65639292853753,0.17655822803234256,0,0.5215605749486653,487,1.0164271047227926,0.6625000000000001
76,0.9,0.8,10,26,34.57778216540024,0.1764400946823712,0,1,473,1.0824524312896406,0.6613095238095238
77,0.7,1,1,15,14.953017281211405,0.1342858351998737,-0.0012641739049120283,1,372,1.2419354838709677,0.6607142857142857
78,0.3,1,4,26,11.793756779878269,0.1229543914351019,-0.0020992797758017895,1,219,1.2420091324200913,0.6607142857142857
79,0.9,0.5,4,3,34.506211582982644,0.17633232417898181,0,0.24236252545824846,491,1.0020366598778003,0.6601190476190476
80,0.9,0.8,5,3,34.3973833708059,0.1761680533704557,0,0.36122448979591837,490,1.0081632653061225,0.6589285714285714
81,0.3,0.8,2,26,11.07011616277756,0.11998374490056674,-0.0027653230330351936,1,219,1.2420091324200913,0.6583333333333333
82,0.9,0.5,5,5,34.34237260305629,0.17608483382110052,0,0.294478527607362,489,1.0081799591002045,0.656547619047619
83,0.9,0.5,10,26,34.25431213310161,0.17595135940475415,0,0.6536082474226804,485,1.02680412371134,0.6553571428571429
84,0.9,0.5,5,3,34.180591152878876,0.1758393745928306,0,0.1894093686354379,491,1.0061099796334012,0.6541666666666667
85,0.3,0.8,3,26,12.283212451478567,0.124874065209025,-0.0010738237702650653,1,222,1.1981981981981982,0.6535714285714286
86,0.9,1,10,3,34.03604531070521,0.1756191526291757,0,0.13617886178861788,492,1.0060975609756098,0.6529761904761905
87,0.9,0.8,10,3,33.96594726545472,0.17551204272588605,0,0.06707317073170732,492,1.0060975609756098,0.6517857142857143
88,0.5,0.8,1,26,10.526548784624799,0.11763831053666052,-0.003631293674614892,1,291,1.29553264604811,0.6511904761904762
89,0.9,1,15,5,33.95963334715183,0.17550238499085924,0,0.10365853658536585,492,1.0040650406504066,0.6505952380952381
90,0.9,0.8,10,5,33.94530649682959,0.1754804645422634,0,0.18775510204081633,490,1.010204081632653,0.6494047619047619
91,0.9,1,10,15,33.94208543180367,0.1754755350490489,0,0.9957537154989384,471,1.0934182590233545,0.6482142857142857
92,0.9,1,10,5,33.920446560910044,0.17544240783819554,0,0.32581967213114754,488,1.0163934426229508,0.6470238095238096
93,0.5,1,1,15,11.19167077036076,0.12049442636808871,-0.0012098001502358429,1,297,1.2558922558922558,0.6464285714285715
94,0.9,0.5,10,3,33.89705970756605,0.17540658258061548,0,0.032520325203252036,492,1.0020325203252032,0.6446428571428571
95,0.9,0.8,15,5,33.894832919493645,0.175403170270388,0,0.046747967479674794,492,1.0040650406504066,0.6434523809523809
96,0.9,0.5,10,5,33.88924903496486,0.17539461266126288,0,0.05091649694501019,491,1.0040733197556009,0.6422619047619047
97,0.9,0.8,10,15,33.8839510813445,0.17538649204824064,0,0.8520833333333333,480,1.05,0.6410714285714285
98,0.9,0.5,15,5,33.83611143474988,0.17531311089882595,0,0.02032520325203252,492,1,0.6398809523809523
99,0.9,0.8,15,3,33.60424248582184,0.17495607901694754,0,0.022448979591836733,490,1.0040816326530613,0.6386904761904761
100,0.9,1,15,3,33.59810090830739,0.17494659120374823,0,0.03877551020408163,490,1.0040816326530613,0.6375
101,0.9,1,15,26,33.478557870819806,0.17476159430854388,0,1,470,1.0957446808510638,0.6363095238095238
102,0.3,1,2,26,9.198760311495263,0.11143270103914182,-0.008946351161736593,1,209,1.354066985645933,0.6357142857142857
103,0.9,0.5,15,26,33.37640672505666,0.17460302620269252,0,0.25102880658436216,486,1.0246913580246915,0.6351190476190476
104,0.9,0.5,10,15,33.330953616322354,0.17453232520456496,0,0.29045643153526973,482,1.037344398340249,0.6339285714285714
105,0.9,0.5,15,15,33.2898302611154,0.17446828198443964,0,0.0944558521560575,487,1.0225872689938398,0.6327380952380952
106,0.9,0.5,15,3,33.22684804835627,0.1743700547365048,0,0.01440329218106996,486,1,0.631547619047619
107,0.9,0.8,15,26,32.95195081314609,0.173939294313173,0,0.9178947368421052,475,1.0694736842105264,0.6303571428571428
108,0.9,0.8,15,15,32.550481862122545,0.17330417853453528,0,0.4572025052192067,479,1.048016701461378,0.6291666666666667
109,0.9,1,15,15,32.43856478468836,0.1731258348704552,0,0.7852631578947369,475,1.0673684210526315,0.6279761904761905
110,0.9,1,1,5,32.31346045496375,0.17292580121054724,0,0.9978768577494692,471,1.0934182590233545,0.6267857142857143
111,0.9,0.5,1,26,31.70936063700926,0.1719496802887568,0,1,465,1.1225806451612903,0.6255952380952381
112,0.7,0.5,3,26,31.408439086843345,0.17145700425617805,0,1,401,1.0748129675810474,0.6244047619047619
113,0.7,0.5,2,26,30.955245163442058,0.1707067219430387,0,1,398,1.085427135678392,0.6208333333333333
114,0.3,1,2,15,10.48169981629464,0.11744010338411259,-0.0007500109837590116,1,221,1.2126696832579185,0.6202380952380953
115,0.7,0.5,2,15,30.202023790188246,0.1694369682634429,0,0.995049504950495,404,1.061881188118812,0.6160714285714286
116,0.7,0.5,1,5,30.09082781889345,0.16924704421426706,0,0.9708029197080292,411,1.0218978102189782,0.6148809523809524
117,0.7,0.5,4,26,30.06641426700756,0.16920525878348713,0,1,404,1.061881188118812,0.6136904761904762
118,0.7,0.8,3,15,30.023487745630955,0.1691317110997319,0,1,395,1.111392405063291,0.6125
119,0.7,0.5,3,15,29.780576241205498,0.16871368232024575,0,0.9901960784313726,408,1.0392156862745099,0.6113095238095239
120,0.7,0.5,1,3,29.741600010189227,0.16864631474293978,0,0.8150851581508516,411,1.0218978102189782,0.6101190476190477
121,0.9,1,1,26,8.472122587311038,0.10770164268223681,-0.011190747484877165,1,412,1.395631067961165,0.6083333333333334
122,0.7,0.8,4,15,29.40511858097869,0.16806131751357722,0,1,398,1.0979899497487438,0.6041666666666667
123,0.7,1,5,15,28.66378995652273,0.16675034978355896,0,1,394,1.119289340101523,0.6029761904761906
124,0.7,0.5,4,15,28.628558019834173,0.1666872698499382,0,0.9658536585365853,410,1.026829268292683,0.6017857142857144
125,0.7,0.8,2,15,28.53340896899296,0.1665165547163976,0,1,394,1.1116751269035532,0.6005952380952382
126,0.7,0.8,1,3,28.406293630977046,0.16628766509861315,0,0.9752475247524752,404,1.056930693069307,0.599404761904762
127,0.7,0.5,5,26,28.388640159310672,0.16625580280090024,0,0.995049504950495,404,1.061881188118812,0.5982142857142857
128,0.7,1,1,26,6.9695635794875,0.09903151293537005,-0.010595944402600603,1,348,1.3936781609195403,0.5976190476190476
129,0.7,0.5,1,15,28.291211133816827,0.16607962634261275,0,1,399,1.0827067669172932,0.5970238095238095
130,0.7,0.8,5,15,28.155531409668942,0.16583334876608125,0,1,401,1.0773067331670823,0.5946428571428571
131,0.7,1,3,5,27.830268476549186,0.16523846757989724,0,0.9950372208436724,403,1.054590570719603,0.593452380952381
132,0.7,1,2,5,27.827600335876458,0.16523356131327072,0,1,398,1.085427135678392,0.5922619047619048
133,0.5,1,1,26,5.601933208207041,0.08965840963224747,-0.009849763671228515,1,276,1.4420289855072463,0.5916666666666667
134,0.7,0.8,2,5,27.803092811330618,0.16518847576856222,0,0.9825436408977556,401,1.0698254364089776,0.5910714285714286
135,0.7,0.5,2,5,27.784413991098393,0.16515408846978863,0,0.8190709046454768,409,1.0342298288508558,0.5898809523809524
